"","sc3_34_clusters"
"GSM1772096096.4","13"
"GSM1772096096.5","20"
"GSM1772096097.7","13"
"GSM1772096099.10","13"
"GSM1772096099.11","19"
"GSM1772096099.12","16"
"GSM1772096099.13","16"
"GSM1772096100.18","13"
"GSM1772096100.19","13"
"GSM1772096100.20","19"
"GSM1772096100.21","13"
"GSM1772096100.22","13"
"GSM1772096101.14","14"
"GSM1772096101.15","19"
"GSM1772096101.16","14"
"GSM1772096101.17","13"
"GSM1772096102.6","13"
"GSM1772096103.18","13"
"GSM1772096103.19","15"
"GSM1772096103.20","13"
"GSM1772096103.21","13"
"GSM1772096132.18","19"
"GSM1772096135.17","13"
"GSM1772096135.18","8"
"GSM1772096135.19","15"
"GSM1772096133.10","14"
"GSM1772096133.11","13"
"GSM1772096136.14","15"
"GSM1772096138.20","25"
"GSM1772096138.21","13"
"GSM1772096138.22","7"
"GSM1772096138.23","14"
"GSM1772096138.24","14"
"GSM1772096138.25","13"
"GSM1772096139.15","13"
"GSM1772096139.16","13"
"GSM1772096140.13","14"
"GSM1772096140.14","14"
"GSM1772096140.15","13"
"GSM1772096141.27","13"
"GSM1772096141.28","12"
"GSM1772096141.29","13"
"GSM1772096141.30","13"
"GSM1772096144.6","13"
"GSM1772096162.11","13"
"GSM1772096162.12","13"
"GSM1772096162.13","16"
"GSM1772096165.13","15"
"GSM1772096168.9","19"
"GSM1772096171.4","13"
"GSM1772096171.5","13"
"GSM1772096171.6","7"
"GSM1772096171.7","16"
"GSM1772096128.4","16"
"GSM1772096145.1","13"
"GSM1772096145.2","13"
"GSM1772096145.3","16"
"GSM1772084020.3","20"
"GSM1772084020.4","13"
"GSM1772084020.5","13"
"GSM1772084020.6","14"
"GSM1772084020.7","16"
"GSM1772084014.6","13"
"GSM1772084017.10","13"
"GSM1772084017.11","8"
"GSM1772084021.12","13"
"GSM1772092013.5","15"
"GSM1772078029.6","9"
"GSM1772075304.18","9"
"GSM1772075304.19","11"
"GSM1772078031.4","13"
"GSM1772089190.8","13"
"GSM1772078016.12","13"
"GSM1772075304.20","9"
"GSM1772084017.12","13"
"GSM1772078013.7","13"
"GSM1772075304.21","13"
"GSM1772092008.7","19"
"GSM1772089195.8","15"
"GSM1772096102.7","13"
"GSM1772078028.6","16"
"GSM1772078029.7","16"
"GSM1772096097.8","13"
"GSM1772096096.6","13"
"GSM1772075310.4","13"
"GSM1772075310.5","13"
"GSM1772096168.10","13"
"GSM1772096100.23","13"
"GSM1772096102.8","13"
"GSM1772078030.14","16"
"GSM1772096168.11","14"
"GSM1772078030.15","16"
"GSM1772092008.8","16"
"GSM1772075310.6","8"
"GSM1772096134.9","13"
"GSM1772078028.7","8"
"GSM1772096136.15","13"
"GSM1772078018.6","13"
"GSM1772078022.4","13"
"GSM1772078019.10","9"
"GSM1772096136.16","13"
"GSM1772089194.13","16"
"GSM1772096168.12","13"
"GSM1772096168.13","13"
"GSM1772092008.9","20"
"GSM1772078013.8","16"
"GSM1772078018.7","15"
"GSM1772075305.13","8"
"GSM1772075304.22","13"
"GSM1772096133.12","15"
"GSM1772092008.10","15"
"GSM1772078018.8","16"
"GSM1772078028.8","19"
"GSM1772089194.14","16"
"GSM1772078018.9","14"
"GSM1772096126.9","13"
"GSM1772096136.17","13"
"GSM1772078031.5","20"
"GSM1772084017.13","13"
"GSM1772078030.16","16"
"GSM1772078017.11","19"
"GSM1772078029.8","13"
"GSM1772089194.15","13"
"GSM1772089190.9","15"
"GSM1772092008.11","9"
"GSM1772092012.6","9"
"GSM1772078013.9","9"
"GSM1772075304.23","9"
"GSM1772075305.14","9"
"GSM1772075304.24","9"
"GSM1772078030.17","9"
"GSM1772075305.15","9"
"GSM1772078030.18","9"
"GSM1772092013.6","9"
"GSM1772075304.25","9"
"GSM1772078016.13","9"
"GSM1772078022.5","19"
"GSM1772078013.10","9"
"GSM1772075304.26","9"
"GSM1772078013.11","9"
"GSM1772075317.8","9"
"GSM1772096136.18","10"
"GSM1772075305.16","9"
"GSM1772078028.9","9"
"GSM1772078014.6","8"
"GSM1772078017.12","9"
"GSM1772092013.7","9"
"GSM1772092008.12","10"
"GSM1772092011.3","19"
"GSM1772089196.5","9"
"GSM1772096162.14","11"
"GSM1772096144.7","16"
"GSM1772075317.9","9"
"GSM1772075310.7","10"
"GSM1772078016.14","8"
"GSM1772078022.6","9"
"GSM1772089190.10","9"
"GSM1772092005.2","9"
"GSM1772096128.5","8"
"GSM1772078014.7","8"
"GSM1772078016.15","19"
"GSM1772078018.10","9"
"GSM1772089195.9","9"
"GSM1772096097.9","9"
"GSM1772096133.13","19"
"GSM1772078030.19","9"
"GSM1772096132.19","19"
"GSM1772078030.20","9"
"GSM1772078030.21","8"
"GSM1772078030.22","9"
"GSM1772078030.23","9"
"GSM1772078013.12","9"
"GSM1772078017.13","9"
"GSM1772078022.7","15"
"GSM1772092012.7","15"
"GSM1772092013.8","9"
"GSM1772092013.9","9"
"GSM1772089195.10","9"
"GSM1772089187.5","7"
"GSM1772092005.3","11"
"GSM1772092005.4","9"
"GSM1772096138.26","9"
"GSM1772096101.18","9"
"GSM1772078013.13","9"
"GSM1772092008.13","11"
"GSM1772089190.11","8"
"GSM1772078013.14","9"
"GSM1772078017.14","11"
"GSM1772078030.24","8"
"GSM1772078030.25","8"
"GSM1772078030.26","8"
"GSM1772078017.15","13"
"GSM1772089194.16","11"
"GSM1772089194.17","9"
"GSM1772089195.11","9"
"GSM1772089196.6","16"
"GSM1772096101.19","11"
"GSM1772089196.7","9"
"GSM1772078018.11","9"
"GSM1772078016.16","9"
"GSM1772078022.8","9"
"GSM1772078017.16","9"
"GSM1772075317.10","34"
"GSM1772075317.11","9"
"GSM1772075310.8","9"
"GSM1772096168.14","9"
"GSM1772078031.6","9"
"GSM1772078017.17","9"
"GSM1772096103.22","16"
"GSM1772092012.8","9"
"GSM1772078013.15","9"
"GSM1772078014.8","8"
"GSM1772078029.9","9"
"GSM1772078014.9","9"
"GSM1772096158.1","9"
"GSM1772096141.31","9"
"GSM1772089194.18","8"
"GSM1772075310.9","19"
"GSM1772078030.27","8"
"GSM1772078030.28","8"
"GSM1772078013.16","34"
"GSM1772078014.10","9"
"GSM1772078018.12","8"
"GSM1772078018.13","15"
"GSM1772078018.14","9"
"GSM1772092008.14","11"
