"","x"
"GSM1772096165.13",7
"GSM1772078017.9",7
"GSM1772092004.6",7
"GSM1772096101.19",7
"GSM1772089196.6",7
"GSM1772096145.4",7
"GSM1772096136.23",7
"GSM1772096136.22",7
"GSM1772092010.2",7
"GSM1772096162.24",7
"GSM1772096162.23",7
"GSM1772078017.18",7
"GSM1772096162.21",7
"GSM1772078018.39",7
"GSM1772096135.19",7
"GSM1772096102.10",7
"GSM1772096162.14",7
"GSM1772078013.19",7
"GSM1772096165.25",7
"GSM1772096172.17",7
"GSM1772096173.10",7
"GSM1772092013.9",7
"GSM1772078023",7
"GSM1772089186.6",7
"GSM1772089195.4",7
"GSM1772092012.7",7
"GSM1772089195.7",7
"GSM1772096136.14",7
"GSM1772096133.12",7
"GSM1772078022.7",7
"GSM1772096171.10",7
"GSM1772089195.12",7
"GSM1772078013.6",7
"GSM1772089188.5",7
"GSM1772089186.7",7
"GSM1772092005.6",7
"GSM1772089195.8",7
"GSM1772089187.6",7
"GSM1772089190.9",7
"GSM1772096162.20",7
"GSM1772092008.13",7
"GSM1772092005.3",7
"GSM1772089186.8",7
"GSM1772096136.13",7
"GSM1772092008.10",7
"GSM1772092005.1",7
"GSM1772092005.5",7
"GSM1772092013.5",7
"GSM1772089194.16",7
"GSM1772089186.9",7
"GSM1772092011.1",8
"GSM1772096132.22",8
"GSM1772075317.7",8
"GSM1772096138.4",8
"GSM1772078014.2",8
"GSM1772096101.11",8
"GSM1772096126.9",8
"GSM1772075305.8",8
"GSM1772096140.24",8
"GSM1772096126.6",8
"GSM1772096103.17",8
"GSM1772096172.7",8
"GSM1772096134.8",8
"GSM1772096100.17",8
"GSM1772078030.15",8
"GSM1772078028.8",8
"GSM1772096140.11",8
"GSM1772078031.4",8
"GSM1772096139.13",8
"GSM1772096132.35",8
"GSM1772078014.3",8
"GSM1772096136.11",8
"GSM1772089190.7",8
"GSM1772078018.5",8
"GSM1772096096.2",8
"GSM1772078019.6",8
"GSM1772096128.2",8
"GSM1772096099.6",8
"GSM1772096132.14",8
"GSM1772096103.11",8
"GSM1772089187.3",8
"GSM1772078022.2",8
"GSM1772084020.1",8
"GSM1772096133.8",8
"GSM1772096136.10",8
"GSM1772096165.12",8
"GSM1772096168.5",8
"GSM1772078017.5",8
"GSM1772096136.12",8
"GSM1772092005.30",9
"GSM1772096140.13",9
"GSM1772096101.14",9
"GSM1772096138.5",9
"GSM1772078013.5",9
"GSM1772078017.3",9
"GSM1772078022.3",9
"GSM1772096173.6",9
"GSM1772096100.22",9
"GSM1772096128.4",9
"GSM1772075304.14",9
"GSM1772075305.16",9
"GSM1772096168.6",9
"GSM1772096103.21",9
"GSM1772089194",9
"GSM1772096132.12",9
"GSM1772096132.15",9
"GSM1772092012.4",9
"GSM1772089195.3",9
"GSM1772084017.12",9
"GSM1772096139.16",9
"GSM1772096132.17",9
"GSM1772096144.6",9
"GSM1772096138.21",9
"GSM1772089194.32",9
"GSM1772078029.8",9
"GSM1772096103.18",9
"GSM1772084021.12",9
"GSM1772084017.10",9
"GSM1772078028.5",9
"GSM1772089186.23",9
"GSM1772084020.5",9
"GSM1772096141.29",9
"GSM1772075305.7",9
"GSM1772078019.9",9
"GSM1772096171.4",9
"GSM1772075304.15",9
"GSM1772096168.12",9
"GSM1772075305.11",9
"GSM1772075310.3",9
"GSM1772096099.5",9
"GSM1772075304.10",9
"GSM1772075304.16",9
"GSM1772092011.11",9
"GSM1772089194.15",9
"GSM1772096139.14",9
"GSM1772078017.8",9
"GSM1772096102.7",9
"GSM1772078018.8",9
"GSM1772089194.14",9
"GSM1772078016.12",9
"GSM1772078030.20",9
"GSM1772075305.9",9
"GSM1772092012.2",9
"GSM1772096139.15",9
"GSM1772089194.11",9
"GSM1772084020.6",9
"GSM1772075304.13",9
"GSM1772092008.4",9
"GSM1772096135.15",9
"GSM1772078023.1",9
"GSM1772078030.14",9
"GSM1772078030.12",9
"GSM1772078028.7",9
"GSM1772078017.11",9
"GSM1772075305.5",9
"GSM1772089194.12",9
"GSM1772078017.7",9
"GSM1772075310.6",9
"GSM1772078017.15",9
"GSM1772096096.3",9
"GSM1772096168.13",9
"GSM1772096102.8",9
"GSM1772096101.12",9
"GSM1772075310.4",9
"GSM1772075304.21",9
"GSM1772096097.15",9
"GSM1772089190.6",9
"GSM1772078019.7",9
"GSM1772078017.10",9
"GSM1772096168.15",9
"GSM1772096099.10",9
"GSM1772092010",9
"GSM1772084017.13",9
"GSM1772078016.4",9
"GSM1772078017.6",9
"GSM1772078019.8",9
"GSM1772096171.6",10
"GSM1772078017.21",10
"GSM1772078028.6",10
"GSM1772096144.5",10
"GSM1772096175.2",10
"GSM1772096100.19",10
"GSM1772089194.9",10
"GSM1772096136.16",10
"GSM1772089188.4",10
"GSM1772096128.3",10
"GSM1772096103.13",10
"GSM1772084021.6",10
"GSM1772078019.23",10
"GSM1772096133.10",10
"GSM1772092009.4",10
"GSM1772096145.1",10
"GSM1772096140.15",10
"GSM1772096162.22",10
"GSM1772096102.6",10
"GSM1772089188.3",10
"GSM1772096171.5",10
"GSM1772092008.3",10
"GSM1772096138.19",10
"GSM1772096173.8",10
"GSM1772092012.3",10
"GSM1772096168.10",10
"GSM1772096103.14",10
"GSM1772096173.9",10
"GSM1772089186.4",10
"GSM1772096140.9",10
"GSM1772089196.3",10
"GSM1772096140.14",10
"GSM1772096134.7",10
"GSM1772084014.5",10
"GSM1772096140.10",10
"GSM1772096138.23",10
"GSM1772096101.13",10
"GSM1772096099.27",10
"GSM1772078019.10",10
"GSM1772096162.11",10
"GSM1772096099.4",10
"GSM1772089190.5",10
"GSM1772096133.2",10
"GSM1772092008.2",10
"GSM1772089194.8",10
"GSM1772096100.16",10
"GSM1772084021.11",10
"GSM1772084020.4",10
"GSM1772096099.8",10
"GSM1772096172.9",10
"GSM1772096173.7",10
"GSM1772084014.6",10
"GSM1772096136.8",10
"GSM1772089196.2",10
"GSM1772096101.10",10
"GSM1772096100.20",10
"GSM1772096099.9",10
"GSM1772096103.20",10
"GSM1772078016.6",10
"GSM1772078030.11",10
"GSM1772084021.10",10
"GSM1772096096.4",10
"GSM1772075305.17",10
"GSM1772092013.3",10
"GSM1772096103.16",10
"GSM1772089190.4",10
"GSM1772075304.12",10
"GSM1772078030.13",10
"GSM1772078013.4",10
"GSM1772089196.4",10
"GSM1772096101.16",10
"GSM1772096135.14",10
"GSM1772075305.10",10
"GSM1772092013.4",10
"GSM1772096173.22",11
"GSM1772092005.15",11
"GSM1772096099.25",11
"GSM1772096131.21",11
"GSM1772096100.34",11
"GSM1772078018.27",11
"GSM1772075310.10",11
"GSM1772092009.19",11
"GSM1772078013.27",11
"GSM1772078018.28",11
"GSM1772078031.26",11
"GSM1772096101.29",11
"GSM1772092008.26",11
"GSM1772092008.27",11
"GSM1772096097.17",11
"GSM1772096097.16",12
"GSM1772078028.18",12
"GSM1772096172.24",12
"GSM1772078029.9",12
"GSM1772078017.32",12
"GSM1772075304.41",12
"GSM1772096099.26",12
"GSM1772096100.2",13
"GSM1772096132.19",13
"GSM1772096139.5",13
"GSM1772078028.1",13
"GSM1772096141.34",13
"GSM1772096138.3",13
"GSM1772092013.1",13
"GSM1772096141.30",13
"GSM1772078016.11",13
"GSM1772096096.9",13
"GSM1772078028.42",13
"GSM1772096138.24",13
"GSM1772075310.1",13
"GSM1772096096.5",13
"GSM1772078022.39",13
"GSM1772096096.23",13
"GSM1772078029.12",13
"GSM1772096100.35",14
"GSM1772075310.36",14
"GSM1772096162.18",14
"GSM1772096096.15",14
"GSM1772089186.30",14
"GSM1772078023.8",14
"GSM1772078019.31",14
"GSM1772078014.22",14
"GSM1772096144.12",14
"GSM1772078013.29",14
"GSM1772096101.28",14
"GSM1772075309.9",14
"GSM1772092004.28",14
"GSM1772078016.24",14
"GSM1772092005.16",14
"GSM1772092008.15",15
"GSM1772075317.9",15
"GSM1772096101.20",15
"GSM1772096158.1",15
"GSM1772078016.16",15
"GSM1772075317.11",15
"GSM1772096126.10",15
"GSM1772078030.21",15
"GSM1772078014.6",15
"GSM1772075304.23",15
"GSM1772078017.16",15
"GSM1772078029.13",15
"GSM1772078013.18",15
"GSM1772078029.11",15
"GSM1772096103.25",15
"GSM1772078013.15",15
"GSM1772078031.43",15
"GSM1772078013.9",15
"GSM1772078029.6",15
"GSM1772078030.18",15
"GSM1772096134.10",15
"GSM1772096133.14",15
"GSM1772096103.26",15
"GSM1772078022.5",15
"GSM1772078028.10",15
"GSM1772096172.11",15
"GSM1772078018.17",15
"GSM1772078013.17",15
"GSM1772078013.12",15
"GSM1772078029.14",15
"GSM1772089194.23",15
"GSM1772096136.27",15
"GSM1772096103.36",15
"GSM1772078016.19",15
"GSM1772078023.2",15
"GSM1772096099.24",15
"GSM1772096132.25",15
"GSM1772096158.2",15
"GSM1772089190.10",15
"GSM1772078030.16",15
"GSM1772075304.22",15
"GSM1772096136.26",15
"GSM1772078022.6",15
"GSM1772096099.13",15
"GSM1772096101.22",15
"GSM1772096099.12",15
"GSM1772096138.26",15
"GSM1772096132.26",15
"GSM1772096138.30",15
"GSM1772078029.5",15
"GSM1772078028.12",15
"GSM1772096128.6",15
"GSM1772078019.12",15
"GSM1772092008.11",15
"GSM1772089188.8",15
"GSM1772089196.8",15
"GSM1772075304.26",15
"GSM1772075317.12",15
"GSM1772075304.24",15
"GSM1772075305.14",15
"GSM1772078030.24",15
"GSM1772075304.25",15
"GSM1772096141.33",15
"GSM1772096132.29",15
"GSM1772078013.10",15
"GSM1772096097.9",15
"GSM1772096162.19",15
"GSM1772092012.6",15
"GSM1772096097.11",15
"GSM1772096141.32",15
"GSM1772078022.8",15
"GSM1772078030.27",15
"GSM1772096141.25",15
"GSM1772096100.26",15
"GSM1772096140.17",15
"GSM1772096103.32",15
"GSM1772096126.7",15
"GSM1772096103.22",15
"GSM1772096101.15",15
"GSM1772078028.11",15
"GSM1772096171.12",15
"GSM1772096134.28",15
"GSM1772096168.14",15
"GSM1772092009.6",15
"GSM1772096138.22",15
"GSM1772096175.5",15
"GSM1772096138.28",15
"GSM1772096138.27",15
"GSM1772075317.2",15
"GSM1772096171.14",15
"GSM1772084021.14",15
"GSM1772078018.15",15
"GSM1772096134.12",15
"GSM1772092010.5",15
"GSM1772078028.9",15
"GSM1772089195.5",15
"GSM1772078014.10",15
