"","x"
"GSM2613400","4"
"GSM2613401","2"
"GSM2613402","0"
"GSM2613403","0"
"GSM2613404","2"
"GSM2613405","0"
"GSM2613406","2"
"GSM2613407","0"
"GSM2613408","4"
"GSM2613409","2"
"GSM2613410","0"
"GSM2613411","0"
"GSM2613412","5"
"GSM2613413","4"
"GSM2613414","2"
"GSM2613415","2"
"GSM2613416","4"
"GSM2613417","2"
"GSM2613418","5"
"GSM2613419","2"
"GSM2613420","0"
"GSM2613421","0"
"GSM2613422","9"
"GSM2613423","0"
"GSM2613424","0"
"GSM2613425","4"
"GSM2613426","9"
"GSM2613427","0"
"GSM2613428","9"
"GSM2613429","0"
"GSM2613430","0"
"GSM2613431","2"
"GSM2613432","12"
"GSM2613433","2"
"GSM2613434","0"
"GSM2613435","0"
"GSM2613436","4"
"GSM2613437","2"
"GSM2613438","0"
"GSM2613439","2"
"GSM2613440","4"
"GSM2613441","2"
"GSM2613442","0"
"GSM2613443","5"
"GSM2613444","0"
"GSM2613445","5"
"GSM2613446","2"
"GSM2613447","2"
"GSM2613448","0"
"GSM2613449","2"
"GSM2613450","0"
"GSM2613451","2"
"GSM2613452","0"
"GSM2613453","2"
"GSM2613454","0"
"GSM2613455","0"
"GSM2613456","4"
"GSM2613457","0"
"GSM2613458","2"
"GSM2613459","4"
"GSM2613460","4"
"GSM2613461","0"
"GSM2613462","5"
"GSM2613463","5"
"GSM2613464","4"
"GSM2613465","2"
"GSM2613466","2"
"GSM2613467","4"
"GSM2613468","2"
"GSM2613469","4"
"GSM2613470","2"
"GSM2613471","2"
"GSM2613472","5"
"GSM2613473","5"
"GSM2613474","4"
"GSM2613475","2"
"GSM2613476","0"
"GSM2613477","2"
"GSM2613478","0"
"GSM2613479","4"
"GSM2613480","0"
"GSM2613481","9"
"GSM2613482","4"
"GSM2613483","0"
"GSM2613484","0"
"GSM2613485","0"
"GSM2613486","0"
"GSM2613487","0"
"GSM2613488","0"
"GSM2613489","0"
"GSM2613490","2"
"GSM2613491","0"
"GSM2613492","0"
"GSM2613493","2"
"GSM2613494","0"
"GSM2613495","4"
"GSM2613496","2"
"GSM2613497","4"
"GSM2613498","5"
"GSM2613499","0"
"GSM2613500","12"
"GSM2613501","9"
"GSM2613502","4"
"GSM2613503","0"
"GSM2613504","0"
"GSM2613505","2"
