"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Best1","Best1",1.63226821549951,0.987831502583581,0.0371016249083155,0.452092007899711
"Rassf5","Rassf5",2.35049724708413,0.935243811605313,0.0370828805021567,0.452179844923081
"Nanos1","Nanos1",2.35049724708413,0.914935320625939,0.0167743895227827,0.452193118774513
"Fbxo34","Fbxo34",2.60880924267552,0.888741857328245,0.0167799167560286,0.452219020157871
"Gm15319","Gm15319",1.0703893278914,0.994954783436459,0.0167818276388985,0.45222797486795
"Henmt1","Henmt1",1.0703893278914,0.994954783436459,0.0167818276388985,0.45222797486795
"Sntb1","Sntb1",1.0703893278914,0.994954783436459,0.0167818276388985,0.45222797486795
"Avil","Avil",1.0703893278914,0.994954783436459,0.0167818276388985,0.45222797486795
"Frmpd1","Frmpd1",1.63226821549951,0.967512869021954,0.0167829913466884,0.452233428205144
"Mllt3","Mllt3",3.18586654531133,0.830330268103963,0.0167913662415857,0.452272674685635
"4930513N10Rik","4930513N10Rik",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"D6Ertd527e","D6Ertd527e",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Nos1","Nos1",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Gpr157","Gpr157",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Cldn19","Cldn19",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Gm19710","Gm19710",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Zfp457","Zfp457",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Dsp","Dsp",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Cdca7l","Cdca7l",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Adam21","Adam21",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Gpr6","Gpr6",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Gpr52","Gpr52",1.0703893278914,0.994966473776063,0.0167935179785028,0.452282758242832
"Arf3","Arf3",4.5298209465287,0.701607715711255,0.0168003902480851,0.4523149635586
"Atp6v1f","Atp6v1f",5.32553033156756,0.631012605049793,0.0168056380935947,0.452339556594669
"Aldh3b2","Aldh3b2",2.03562390973072,0.965433766818668,0.0370470032493099,0.452347973662743
"Ptpru","Ptpru",2.60880924267552,0.908999261041146,0.0370373204689297,0.452393350778118
"D11Wsu47e","D11Wsu47e",1.63226821549951,0.967556432924213,0.0168265552489466,0.452437582705654
"Nup107","Nup107",2.35049724708413,0.914994344616892,0.0168334135137355,0.452469723894136
"Zfp58","Zfp58",2.03562390973072,0.96540054067002,0.0370137771006621,0.452503686363878
"Tctex1d1","Tctex1d1",2.03562390973072,0.965389382097782,0.0370026185284237,0.452555982100204
"Copz2","Copz2",1.63226821549951,0.987724324146333,0.0369944464710674,0.452594281765603
"Smad1","Smad1",3.01792190799726,0.847092962396674,0.0168665917648713,0.452625217826362
"Cbr4","Cbr4",2.35049724708413,0.915029019034863,0.0168680879317074,0.452632229966633
"Ranbp10","Ranbp10",3.01792190799726,0.847095145883068,0.0168687752512657,0.452635451257499
"Lmf1","Lmf1",3.18586654531133,0.830427810008962,0.0168889081465845,0.452729810367474
"Gtf3c5","Gtf3c5",2.60880924267552,0.908926767179729,0.0369648266075133,0.452733103729455
"Sars2","Sars2",2.03562390973072,0.945279277797575,0.0168925142282169,0.452746711678803
"Zfp787","Zfp787",2.03562390973072,0.965347124675435,0.0369603611060771,0.45275403308097
"Isg15","Isg15",1.63226821549951,0.987685863874346,0.0369559861990796,0.45277453795285
"Tex16","Tex16",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"4933406I18Rik","4933406I18Rik",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
