"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Fosl2","Fosl2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Krtcap3","Krtcap3",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Abcb1b","Abcb1b",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Snord99","Snord99",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ndc1","Ndc1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Efcab7","Efcab7",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Dmrta1","Dmrta1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"4933409K07Rik-loc2","4933409K07Rik-loc2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"4930412C18Rik","4930412C18Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Snord45c","Snord45c",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Gstm4","Gstm4",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Cd2","Cd2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Chd1l","Chd1l",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Hist2h3c1","Hist2h3c1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"BC021767","BC021767",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Tnfsf10","Tnfsf10",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"A430105I19Rik","A430105I19Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Bub1b","Bub1b",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Fkbp7","Fkbp7",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Zak","Zak",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
